id,leto,ime,sorta,drzava,velikost,znizana_cena,cena,ocena,ocenjevalec
108659,2016,Booker Oublie Red Paso Robles,Blend,United States,750,73.99,103.99,95,Jeb Dunnuck - jebdunnuck.com
116746,2015,Domaine R De La Grange Muscadet,Melon,France,750,11.99,15.0,,
117484,2017,Scar Of The Sea Santa Barbara Chardonnay,Chardonnay,United States,750,26.99,34.99,90,Antonio Galloni - Vinous
118662,2018,Alpamanta Breva Cabernet Sauvignon,Cabernet Sauvignon,Argentina,750,28.99,35.0,,
113205,2016,Chase Family Cellars Stags Leap Cabernet Sauvignon,Cabernet Sauvignon,United States,750,129.99,149.99,,
114279,2016,Henri Clerc Bourgogne Aligote,Aligote,France,750,19.99,24.99,,
117741,2017,La Massa Rosso Toscana,Blend,Italy,750,19.98,25.0,93,James Suckling - Jamessuckling.com
118433,2019,El Jefe Grande Unoaked Tempranillo,Tempranillo / Tinto Fino / Tinta Roriz,Spain,1,10.99,14.99,,
118292,2015,Domaine De Compostelle Pomerol,Blend,France,750,39.99,49.99,93,James Suckling - Jamessuckling.com
110213,2009,Chateau Langlais Puisseguin Saint Emilion,Blend,France,750,26.98,40.0,,
119373,2017,Monthelie Douhairet Bourgogne Blanc 'cuvee En Passe Au Rouge',Chardonnay,France,750,24.99,39.99,,
118646,2018,Bruno Dubois Saumur Rococo,Cabernet Franc,France,750,22.99,30.0,,
119251,2018,San Fabiano Calcinaia Chianti Classico,Sangiovese,Italy,750,17.99,19.99,,
119217,2019,Domaine Bousquet Malbec,Malbec,Argentina,375,6.35,7.99,90,Wine Spectator
114075,2018,Grayson Cabernet Sauvignon,Cabernet Sauvignon,United States,750,7.95,9.99,,
114419,2018,Reeve Wines San Benito Riesling,Riesling,United States,750,29.99,34.0,,
117494,2015,Larue Thorn Ridge Pinot Noir,Pinot Noir,United States,750,69.97,84.99,,
117110,2016,Vivera Siciliane Rosso Terre Dei Sogni,Blend,Italy,750,15.98,23.0,,
79040,,Kopke 30 Year Port,Port Varieties,Portugal,750,111.99,139.99,,
118656,2017,La Ferme St Pierre Ventoux Cevee Veronique,Syrah / Shiraz,France,750,13.49,18.0,,
117202,2015,Robert Foley Vineyards Cabernet Sauvignon Napa,Cabernet Sauvignon,United States,750,79.98,99.99,,
116389,2017,Domaine Thibert Bourgogne Blanc,Chardonnay,France,750,18.99,20.0,,
112848,2017,Domaine Weinbach Gewurztraminer Cuvee Theo,Gewurztraminer,France,750,39.98,52.99,92,Stephan Reinhardt - Robert Parker&#39;s Wine Advocate
117754,2015,Cascina Fontana Barolo,Nebbiolo,Italy,750,59.99,75.0,95,Wine Spectator
120124,2018,Domaine De Marcoux Chateauneuf Du Pape Blanc,Blend,France,750,49.99,59.99,91,Joe Czerwinski - Robert Parker&#39;s Wine Advocate
114458,2016,Apollo 18 Malbec Gran Reserva (Up),Malbec,Argentina,750,12.99,17.99,,
116196,2018,Omen Red Blend,Blend,United States,750,16.99,25.99,,
117663,2016,San Roman Toro Magnum,Tempranillo / Tinto Fino / Tinta Roriz,Spain,1,69.99,89.99,94,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
117422,2018,Ramsay Merlot,Merlot,United States,750,11.49,20.0,,
119942,2015,Ioppa Vespolina Colline Novare Si,Vespolina,Italy,750,15.99,19.99,,
115159,2017,Far Niente Napa Valley Oakville Cabernet Sauvignon,Blend,United States,750,128.0,172.99,92,Lisa Perrotti-Brown - Robert Parker&#39;s Wine Advocate
117144,2016,Vignobles & Compagnie Chateauneuf Du Pape,Blend,France,750,39.99,65.0,93,Wine Enthusiast
119137,2019,Moai Sauvignon Blanc Reserve,Sauvignon Blanc,New Zealand,750,14.99,19.99,,
118239,2018,Twenty Rows Cabernet Sauvignon,Cabernet Sauvignon,United States,750,15.89,21.99,,
118137,2019,Chateau De L'escarelle Coteaux Du Varois Rose,Blend,France,750,19.99,24.99,,
114036,2018,Frost Bitten Ice Riesling Yakima Valley,Riesling,United States,375,12.25,19.99,90,Tastings.com (Beverage Testing Institute)
116636,2015,Argiano Brunello Di Montalcino,Sangiovese,Italy,750,49.99,59.99,95,James Suckling - Jamessuckling.com
110532,2014,Tabor Adama Shiraz,Syrah / Shiraz,Israel,750,16.99,22.99,,
19530,,G & D Marsala,Blend,Italy,750,4.79,5.99,,
104421,,Mionetto Prosecco,Glera,Italy,1,21.99,27.99,,
119228,2019,Lieu Dit Melon Santa Maria Valley,Melon,United States,750,21.99,24.99,91,Antonio Galloni - Vinous
113725,2013,I Capitani Taurasi Bosco Faiano,Aglianico,Italy,750,34.99,45.99,,
110143,2014,Robert Sinskey Carneros Pinot,Pinot Noir,United States,375,20.77,31.99,,
118278,2016,Chateau Mongravey Margaux,Blend,France,750,39.99,50.0,93,Wine Enthusiast
114405,2016,Jean Michel Gerin Cote Rotie Champin Le Seigneur,Syrah / Shiraz,France,750,59.99,79.99,93,Josh Raynolds - Vinous Media
115881,2018,Tselepos Canava Chrissou Old Vine Assyrtiko,Assyrtiko,Greece,750,31.99,39.99,,
114248,2015,Bodegas Breca Brega,Grenache / Garnacha,Spain,750,31.99,36.99,93,Jeb Dunnuck - jebdunnuck.com
118717,2017,Silkman Semillon Hunter Valley,Semillon,Australia,750,16.97,29.99,91,Wine Enthusiast
114975,2016,Chateau Fleur De Plaisance Montagne Saint Emilion,Blend,France,750,19.99,25.0,,
118707,2018,Farm To Table Pinot Noir,Pinot Noir,Australia,750,14.99,19.0,,
115076,2017,Chapel Hill The Parson Gsm,Blend,Australia,750,19.99,24.99,91,Wine Enthusiast
114321,2017,Lingua Franca Pinot Noir Avni,Pinot Noir,United States,750,34.89,49.99,93,Wine &amp; Spirits
118694,2018,Bernabeleva Navaherreros Tinto,Grenache / Garnacha,Spain,750,17.99,23.0,92,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
119818,2018,La Posta Tinto Red Blend,Blend,Argentina,750,11.99,14.99,92,James Suckling - Jamessuckling.com
46830,,Fonseca 20 Year Tawny Port,Port Varieties,Portugal,750,39.99,53.99,94,Wine Spectator
118692,2018,Mer Soleil Chardonnay Reserve,Chardonnay,United States,750,25.99,32.0,,
117634,2005,Rocca Syrah Napa Valley,Syrah / Shiraz,United States,750,39.99,45.0,94,Connoisseurs Guide to Wine
117617,2016,Bernhard Gewurztraminer Grand Cru Mambourg,Gewurztraminer,France,750,34.99,45.0,90,Wine Enthusiast
119455,2018,Chateau Smith Haut Lafitte Rouge,Blend,France,750,109.99,180.0,97,Lisa Perrotti-Brown - Robert Parker&#39;s Wine Advocate
111429,2016,Duckhorn Napa Cabernet Sauvignon Half Bottle,Blend,United States,375,31.99,45.0,90,Wine Enthusiast
