id,okus
120168,cinnamon
120168,red
120168,berry
120168,sour
120168,cherry
120168,dark
120168,ripe
120168,cherry
120168,dark
120168,berry
120168,blueberry
120168,ripe
120168,cherry
120168,plum
120168,strawberry
120168,raspberry
120168,mushroom
117053,grass
117053,gooseberry
117053,grapefruit
117053,lime
117053,melon
117053,citrus
117053,mineral
117053,flint
119066,cocoa
119066,honey
119066,vanilla
119066,butterscotch
119066,dark
119066,fruit
120338,apple
120338,pear
120338,peach
120338,apricot
120338,honey
114333,ripe
114333,cherry
114333,plum
114333,strawberry
114333,raspberry
114333,mushroom
115004,currant
115004,black
115004,cherry
115004,plum
115004,bell
115004,pepper
115004,olive
115004,oak
115004,smoke
115004,toast
115004,tar
24950,almond
24950,citrus
24950,herb
24950,green
24950,apple
24950,lime
24950,pear
24950,acid
24950,fresh
24950,peach
24950,ripe
24950,melon
118647,honeysuckle
118647,quince
118647,melon
118647,cantaloupe
119537,black
119537,currant
119537,blackberry
119537,dust
119537,leather
119537,currant
119537,blueberry
119537,strawberry
119537,blackberry
119537,violet
119537,oak
119537,smoke
119537,toast
119537,vanilla
114004,currant
114004,blackberry
114004,cherry
114004,bell
114004,pepper
114004,olive
114004,asparagus
114004,spice
114004,ginger
114004,oak
114004,vanilla
112848,pear
112848,spice
112848,apple
112848,lemon
112848,lychee
112848,mango
119975,fig
119975,lemon
119975,pear
119975,saffron
119975,grass
119975,bell
119975,pepper
119975,gooseberry
119975,grapefruit
119975,lime
119975,melon
119975,citrus
119975,mineral
119975,flint
118793,apple
118793,pear
118793,peach
118793,apricot
118793,lemon
118793,lime
118793,orange
118793,pineapple
118793,kiwi
118793,butter
118793,cream
118793,vanilla
113688,blueberry
113688,flesh
113688,white
113688,peach
113688,lemon
113688,zest
113688,melon
116307,tropical
116307,fruit
116307,grapefruit
116307,lychee
116307,apple
116307,lemon
116307,citrus
116307,apricot
116307,acidic
116307,pear
116307,peach
116307,lime
116307,orange
116307,pineapple
116307,kiwi
116307,butter
116307,cream
116307,vanilla
116829,grass
116829,gooseberry
116829,grapefruit
116829,lime
116829,melon
116829,citrus
116829,mineral
116829,flint
112508,currant
112508,blackberry
112508,cherry
112508,bell
112508,pepper
112508,olive
112508,asparagus
112508,spice
112508,ginger
112508,oak
112508,vanilla
102246,fig
102246,lemon
102246,pear
102246,saffron
102246,grass
102246,bell
102246,pepper
73345,cocoa
73345,honey
73345,vanilla
73345,butterscotch
73345,dark
73345,fruit
106891,ripe
106891,cherry
106891,plum
106891,strawberry
106891,raspberry
106891,mushroom
115503,ripe
115503,cherry
115503,plum
115503,strawberry
115503,raspberry
115503,mushroom
118547,pepper
118547,earth
118547,green
118547,plum
118547,mocha
118547,currant
108647,apple
108647,pear
108647,peach
108647,apricot
108647,lemon
108647,lime
108647,orange
108647,pineapple
108647,kiwi
108647,butter
108647,cream
108647,vanilla
108647,ripe
108647,cherry
108647,plum
108647,strawberry
108647,raspberry
108647,mushroom
100596,apple
100596,peach
100596,citrus
104894,currant
104894,black
104894,cherry
104894,plum
104894,bell
104894,pepper
104894,olive
104894,oak
104894,smoke
104894,toast
104894,tar
104894,tobacco
104894,raspberry
104894,cassis
104894,violet
104894,pepper
104894,green
104894,bean
116196,jam
116196,blueberry
116196,black
116196,pepper
116196,cherry
116196,plum
116196,boysenberry
116196,cranberry
116196,licorice
116196,currant
116196,blackberry
116196,strawberry
116196,high
116196,acid
116196,low
116196,tannin
116196,fruity
116196,floral
116196,dark
116196,berry
116196,fruit
116196,high
116196,tannin
25240,almond
25240,saline
25240,raisin
25240,vanilla
25240,honey
112900,apple
112900,pear
112900,peach
112900,apricot
112900,honey
107732,currant
107732,blueberry
107732,blackberry
107732,strawberry
115464,apple
115464,pear
115464,peach
115464,apricot
115464,lemon
115464,lime
115464,orange
115464,pineapple
115464,kiwi
115464,butter
115464,cream
115464,vanilla
117889,blackberry
117889,cherry
117889,smoke
117889,earth
116766,currant
116766,blackberry
116766,cherry
116766,bell
116766,pepper
116766,olive
116766,asparagus
116766,spice
116766,ginger
116766,oak
116766,vanilla
116766,black
116766,cherry
116766,plum
116766,smoke
116766,toast
116766,tar
116284,mocha
116284,fig
116284,earth
116284,chocolate
116284,raisin
118681,green
118681,apple
118681,pear
118681,citrus
118681,honeysuckle
118681,black
118681,currant
118681,blackberry
118681,dust
118681,leather
118546,grass
118546,gooseberry
118546,grapefruit
118546,lime
118546,melon
118546,citrus
118546,mineral
118546,flint
119163,honeysuckle
119163,quince
119163,melon
119163,cantaloupe
115701,currant
115701,blueberry
115701,blackberry
115701,strawberry
115701,jam
115701,black
115701,pepper
115701,cherry
115701,plum
115701,boysenberry
115701,cranberry
115701,licorice
37519,N/A
117895,grass
117895,gooseberry
117895,grapefruit
117895,lime
117895,melon
117895,citrus
117895,mineral
117895,flint
116090,plum
116090,black
116090,cherry
116090,mocha
116090,acid
116090,tannin
116090,black
116090,currant
118146,currant
118146,blackberry
118146,cherry
118146,bell
118146,pepper
118146,olive
118146,asparagus
118146,spice
118146,ginger
118146,oak
118146,vanilla
118285,grass
118285,gooseberry
118285,grapefruit
118285,lime
118285,melon
118285,citrus
118285,mineral
118285,flint
118268,ripe
118268,cherry
118268,plum
118268,strawberry
118268,raspberry
118268,mushroom
115420,cocoa
115420,honey
115420,vanilla
115420,butterscotch
115420,dark
115420,fruit
115420,spice
115420,earth
115420,perfume
115420,floral
115420,violet
115420,ripe
115420,cherry
